Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Chris Boucher (24866769),Chris Boucher,24866769,PF/C/F/UTIL,5000,CLE@TOR 10/19/2022 07:30PM ET,TOR,21.12
C,Andre Drummond (24866616),Andre Drummond,24866616,C/UTIL,4900,CHI@MIA 10/19/2022 07:30PM ET,CHI,25.15
C,Precious Achiuwa (24866951),Precious Achiuwa,24866951,C/UTIL,4900,CLE@TOR 10/19/2022 07:30PM ET,TOR,20.83
SG,Evan Fournier (24866622),Evan Fournier,24866622,SG/G/UTIL,4900,NYK@MEM 10/19/2022 07:30PM ET,NYK,23.88
PF/C,Brandon Clarke (24866753),Brandon Clarke,24866753,PF/C/F/UTIL,4900,NYK@MEM 10/19/2022 07:30PM ET,MEM,23.06
PG/SG,Derrick Rose (24866543),Derrick Rose,24866543,PG/SG/G/UTIL,4800,NYK@MEM 10/19/2022 07:30PM ET,NYK,24.23
SG/SF,Eric Gordon (24866547),Eric Gordon,24866547,SG/SF/F/G/UTIL,4800,HOU@ATL 10/19/2022 07:30PM ET,HOU,21.72
PG/SG,Alex Caruso (24866631),Alex Caruso,24866631,PG/SG/G/UTIL,4700,CHI@MIA 10/19/2022 07:30PM ET,CHI,21.95
PG/SG,Coby White (24866929),Coby White,24866929,PG/SG/G/UTIL,4700,CHI@MIA 10/19/2022 07:30PM ET,CHI,22.09
PF/C,Tari Eason (24867009),Tari Eason,24867009,PF/C/F/UTIL,4700,HOU@ATL 10/19/2022 07:30PM ET,HOU,0
SF,Caleb Martin (24866675),Caleb Martin,24866675,SF/F/UTIL,4600,CHI@MIA 10/19/2022 07:30PM ET,MIA,16.52
PG,Gabe Vincent (24866698),Gabe Vincent,24866698,PG/G/UTIL,4600,CHI@MIA 10/19/2022 07:30PM ET,MIA,17.83
SF/PF,Patrick Williams (24866941),Patrick Williams,24866941,SF/PF/F/UTIL,4600,CHI@MIA 10/19/2022 07:30PM ET,CHI,18.86
SF,Justin Champagnie (24866956),Justin Champagnie,24866956,SF/F/UTIL,4600,CLE@TOR 10/19/2022 07:30PM ET,TOR,5.90
SF/PF,Otto Porter Jr. (24866612),Otto Porter Jr.,24866612,SF/PF/F/UTIL,4500,CLE@TOR 10/19/2022 07:30PM ET,TOR,19.70
PG,Immanuel Quickley (24866899),Immanuel Quickley,24866899,PG/G/UTIL,4500,NYK@MEM 10/19/2022 07:30PM ET,NYK,22.41
PF,Max Strus (24866776),Max Strus,24866776,PF/F/UTIL,4400,CHI@MIA 10/19/2022 07:30PM ET,MIA,19.38
SF/PF,Thaddeus Young (24866530),Thaddeus Young,24866530,SF/PF/F/UTIL,4400,CLE@TOR 10/19/2022 07:30PM ET,TOR,16.09
PG,Tyus Jones (24866668),Tyus Jones,24866668,PG/G/UTIL,4400,NYK@MEM 10/19/2022 07:30PM ET,MEM,20.80
C,Dewayne Dedmon (24866606),Dewayne Dedmon,24866606,C/UTIL,4300,CHI@MIA 10/19/2022 07:30PM ET,MIA,14.86
PF/C,Obi Toppin (24866849),Obi Toppin,24866849,PF/C/F/UTIL,4300,NYK@MEM 10/19/2022 07:30PM ET,NYK,16.90
PG,TyTy Washington Jr. (24867057),TyTy Washington Jr.,24867057,PG/G/UTIL,4300,HOU@ATL 10/19/2022 07:30PM ET,HOU,0
PG/SG,Devonte' Graham (24866678),Devonte' Graham,24866678,PG/SG/G/UTIL,4300,NOP@BKN 10/19/2022 07:30PM ET,NOP,22.09
PF,Juancho Hernangomez (24866773),Juancho Hernangomez,24866773,PF/F/UTIL,4200,CLE@TOR 10/19/2022 07:30PM ET,TOR,8.25
SG/SF,Isaac Okoro (24866975),Isaac Okoro,24866975,SG/SF/F/G/UTIL,4200,CLE@TOR 10/19/2022 07:30PM ET,CLE,17.25
C,Isaiah Hartenstein (24866817),Isaiah Hartenstein,24866817,C/UTIL,4200,NYK@MEM 10/19/2022 07:30PM ET,NYK,20.67
SF/PF,Jae'Sean Tate (24866691),Jae'Sean Tate,24866691,SF/PF/F/UTIL,4200,HOU@ATL 10/19/2022 07:30PM ET,HOU,25.33
C,Onyeka Okongwu (24866970),Onyeka Okongwu,24866970,C/UTIL,4200,HOU@ATL 10/19/2022 07:30PM ET,ATL,19.76
SF,Herbert Jones (24866835),Herbert Jones,24866835,SF/F/UTIL,4200,NOP@BKN 10/19/2022 07:30PM ET,NOP,22.19
PG/SG,Malachi Flynn (24866793),Malachi Flynn,24866793,PG/SG/G/UTIL,4100,CLE@TOR 10/19/2022 07:30PM ET,TOR,8.78
C,Xavier Tillman (24866857),Xavier Tillman,24866857,C/UTIL,4100,NYK@MEM 10/19/2022 07:30PM ET,MEM,12.23
SG/SF,Quentin Grimes (24866879),Quentin Grimes,24866879,SG/SF/F/G/UTIL,4100,NYK@MEM 10/19/2022 07:30PM ET,NYK,12.54
SF,Royce O'Neale (24866603),Royce O'Neale,24866603,SF/F/UTIL,4100,NOP@BKN 10/19/2022 07:30PM ET,BKN,20.24
PF/C,Jaxson Hayes (24866937),Jaxson Hayes,24866937,PF/C/F/UTIL,4100,NOP@BKN 10/19/2022 07:30PM ET,NOP,17.38
SF/PF,Cedi Osman (24866671),Cedi Osman,24866671,SF/PF/F/UTIL,4000,CLE@TOR 10/19/2022 07:30PM ET,CLE,18.76
PF/C,Santi Aldama (24866962),Santi Aldama,24866962,PF/C/F/UTIL,4000,NYK@MEM 10/19/2022 07:30PM ET,MEM,9.44
PF/C,Markieff Morris (24866571),Markieff Morris,24866571,PF/C/F/UTIL,4000,NOP@BKN 10/19/2022 07:30PM ET,BKN,12.83
PG/SG,Edmond Sumner (24866687),Edmond Sumner,24866687,PG/SG/G/UTIL,4000,NOP@BKN 10/19/2022 07:30PM ET,BKN,0
PG,Jose Alvarado (24866829),Jose Alvarado,24866829,PG/G/UTIL,4000,NOP@BKN 10/19/2022 07:30PM ET,NOP,15.44
PG,Aaron Holiday (24866730),Aaron Holiday,24866730,PG/G/UTIL,3900,HOU@ATL 10/19/2022 07:30PM ET,ATL,13.32
SF,Trey Murphy III (24866909),Trey Murphy III,24866909,SF/F/UTIL,3900,NOP@BKN 10/19/2022 07:30PM ET,NOP,10.87
SF/PF,Javonte Green (24866618),Javonte Green,24866618,SF/PF/F/UTIL,3800,CHI@MIA 10/19/2022 07:30PM ET,CHI,16.41
SF/PF,Cam Reddish (24866869),Cam Reddish,24866869,SF/PF/F/UTIL,3800,NYK@MEM 10/19/2022 07:30PM ET,NYK,16.91
C,Derrick Favors (24866575),Derrick Favors,24866575,C/UTIL,3800,HOU@ATL 10/19/2022 07:30PM ET,HOU,13.58
PG/SF,Dyson Daniels (24867066),Dyson Daniels,24867066,PG/SF/F/G/UTIL,3800,NOP@BKN 10/19/2022 07:30PM ET,NOP,0
SG/SF,John Konchar (24866701),John Konchar,24866701,SG/SF/F/G/UTIL,3700,NYK@MEM 10/19/2022 07:30PM ET,MEM,14.06
PF,Justin Holiday (24866536),Justin Holiday,24866536,PF/F/UTIL,3700,HOU@ATL 10/19/2022 07:30PM ET,ATL,19.08
PG/SG,Josh Christopher (24866990),Josh Christopher,24866990,PG/SG/G/UTIL,3700,HOU@ATL 10/19/2022 07:30PM ET,HOU,15.83
C,Khem Birch (24866597),Khem Birch,24866597,C/UTIL,3600,CLE@TOR 10/19/2022 07:30PM ET,TOR,12.53
SF/PF,KJ Martin (24867032),KJ Martin,24867032,SF/PF/F/UTIL,3600,HOU@ATL 10/19/2022 07:30PM ET,HOU,17.34
C,Guillermo Hernangomez (24866666),Guillermo Hernangomez,24866666,C/UTIL,3600,NOP@BKN 10/19/2022 07:30PM ET,NOP,20.89
PG,Goran Dragic (24866556),Goran Dragic,24866556,PG/G/UTIL,3500,CHI@MIA 10/19/2022 07:30PM ET,CHI,18.89
SG/SF,Duncan Robinson (24866708),Duncan Robinson,24866708,SG/SF/F/G/UTIL,3500,CHI@MIA 10/19/2022 07:30PM ET,MIA,17.77
PG,Raul Neto (24866647),Raul Neto,24866647,PG/G/UTIL,3500,CLE@TOR 10/19/2022 07:30PM ET,CLE,15.9
SG/SF,Ziaire Williams (24866994),Ziaire Williams,24866994,SG/SF/F/G/UTIL,3400,NYK@MEM 10/19/2022 07:30PM ET,MEM,13.64
SG/SF,Garrison Mathews (24866748),Garrison Mathews,24866748,SG/SF/F/G/UTIL,3400,HOU@ATL 10/19/2022 07:30PM ET,HOU,18.38
